,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
5341,10.4691,-18.4556,-19.862,-20.4955,-20.8467,-21.0427,0.5525,8.3676,-0.075,12.1793,-0.077,4.749,0.342,3.563,-10.5441
5342,10.1123,-18.8095,-19.9773,-20.4814,-20.6256,-20.7367,0.4828,7.8795,-0.1382,12.0007,0.4402,5.295,0.0,3.154,-10.2505
5343,10.4503,-19.423,-20.6788,-21.2686,-21.527,-21.6641,0.5393,8.5873,0.7079,12.3068,0.0002,3.487,0.642,3.067,-9.7424
5344,9.0529,-17.336,-18.2679,-18.7109,-18.7733,-18.7506,0.4389,7.1582,-0.593,12.5998,1.1254,3.529,0.056,2.121,-9.6459
5345,9.1243,-16.8572,-18.0015,-18.3783,-18.4501,-18.5483,0.3913,7.354,-0.8295,12.7598,-0.6305,3.053,0.039,1.817,-9.9538
5346,8.7027,-15.947,-17.0195,-17.4383,-17.5648,-17.562,0.4399,7.0475,-1.1048,11.373,-0.078,2.693,0.0,1.605,-9.8075
5347,8.8846,-17.0728,-17.8278,-18.2042,-18.1949,-18.4868,0.326,6.9155,-0.8165,11.479,0.039,3.881,0.249,2.503,-9.7011
5348,9.4824,-17.243,-18.2555,-18.7844,-18.8212,-19.3594,0.5199,6.8097,-0.6849,11.638,-0.5036,8.665,0.255,5.225,-10.1673
5349,9.9435,-19.0871,-20.1887,-20.4729,-20.5638,-20.4515,0.2634,7.3976,0.1246,11.8729,-0.9078,7.59,0.073,4.713,-9.8189
5350,9.6862,-18.2492,-19.3522,-19.7272,-19.8855,-19.9243,0.3855,7.7689,-0.2423,12.1869,-0.4392,3.667,0.053,2.244,-9.9285
5351,9.0846,-17.3038,-18.319,-18.602,-18.72,-18.507,0.2946,6.9855,-0.6633,11.5061,-0.3659,4.543,0.113,2.839,-9.7479
5352,10.048,-19.2008,-20.3213,-20.7266,-20.9103,-20.9797,0.4132,7.6336,0.1088,12.0161,0.0183,6.488,0.051,3.952,-9.9392
5354,9.2226,-18.0467,-18.8376,-19.1798,-19.3106,-19.3688,0.3263,7.5661,-0.1442,13.5052,0.4701,2.699,0.395,1.827,-9.3668
5355,9.3479,-17.6946,-18.6866,-19.0431,-19.2155,-19.2081,0.351,7.1913,-0.4883,11.6065,-0.361,4.819,0.0,2.871,-9.8362
5356,9.3796,-17.1563,-18.0414,-18.5588,-18.2297,-18.7044,0.4888,6.698,-0.8193,11.5835,-0.123,8.854,0.099,5.486,-10.1989
5357,9.7724,-18.5927,-19.6318,-19.7075,-19.8918,-20.023,0.1012,7.8983,0.1257,11.5991,-0.6111,3.494,0.055,2.142,-9.6467
5358,10.1205,-19.2228,-20.2973,-20.7701,-20.943,-20.9816,0.4407,7.6989,0.1066,12.0419,-0.5893,6.496,0.031,3.945,-10.0139
5359,8.9647,-17.3496,-18.1532,-18.4927,-18.6596,-18.5683,0.366,7.1255,-0.6221,11.5062,-0.4779,3.336,0.008,1.997,-9.5868
5360,10.1775,-18.122,-19.6083,-20.1319,-20.4764,-20.4196,0.5194,7.9766,-0.8617,11.9242,-1.065,5.075,0.068,3.106,-11.0392
5361,10.3494,-18.0592,-19.433,-20.1458,-20.4835,-20.7344,0.5893,8.7312,0.1376,12.111,-0.3622,2.608,0.38,1.828,-10.2118
5362,8.5618,-16.4917,-17.3304,-17.5767,-17.8125,-17.7182,0.277,6.9552,-1.0128,11.3756,-0.2754,2.537,0.0,1.512,-9.5746
